processes,time,length,error_%
1,61.4364,38988.5,32.758444565513486
2,64.1968,40778.4,38.85317352220104
4,75.2609,39701.9,35.18761917733588
8,137.408,40130.1,36.64566875510759
16,284.529,39771.8,35.42563334241352
