processes,time,length,speedup
1,92.7294,42411.1,1.0
2,99.3465,45202.4,0.933393728012562
4,123.491,41162.0,0.7509000655918245
8,221.251,38286.6,0.41911403790265356
16,427.837,38527.8,0.21674002014786006
