processes,time,length,speedup
1,24.0864,24919.2,1.0
2,24.2729,26304.5,0.9923165340770984
4,29.0298,23902.0,0.8297129156935287
8,56.5919,24933.5,0.425615679982471
16,124.907,24208.6,0.19283466899373136
