processes,time,length,speedup
1,33.237,37102.1,1.0
2,35.2586,34584.8,0.9426636338368511
4,41.6527,34020.9,0.7979554746751111
8,76.8777,33124.8,0.43233603502706247
16,169.675,32587.6,0.1958862531309857
