processes,time,length,speedup
1,52.8779,33774.7,1.0
2,56.3067,34752.0,0.939104937778275
4,65.8739,34045.2,0.8027139732124557
8,125.939,32517.4,0.41986914299780054
16,251.762,33089.9,0.21003129940181597
