processes,time,length,error_%
1,23.7171,29087.3,36.598572367803136
2,24.5949,26358.8,23.785103785103782
4,28.5927,24299.3,14.113365267211417
8,58.2759,24332.4,14.268808114961967
16,117.548,24784.0,16.389593312670236
