processes,time,length,error_%
1,92.7294,42411.1,44.07412440126371
2,99.3465,45202.4,53.55640860141999
4,123.491,41162.0,39.830825152019564
8,221.251,38286.6,30.062846078065014
16,427.837,38527.8,30.882223052620862
