processes,time,length,error_%
1,22.8176,28701.7,30.060268261736457
2,24.5322,25248.4,14.411818017038252
4,28.4442,25293.8,14.61754576762733
8,55.4591,24741.4,12.114373753851737
16,110.171,24767.0,12.230378829073771
