processes,time,length,speedup
1,23.594,26127.3,1.0
2,25.6447,26783.7,0.9200341591050003
4,28.6539,26229.9,0.8234132177469734
8,57.3224,26219.8,0.41160174730995214
16,115.141,26300.3,0.20491397503929965
