processes,time,length,speedup
1,61.4364,38988.5,1.0
2,64.1968,40778.4,0.957000972011066
4,75.2609,39701.9,0.8163123215374782
8,137.408,40130.1,0.4471093386120168
16,284.529,39771.8,0.2159231572177177
