processes,time,length,error_%
1,52.8779,33774.7,29.25641025641025
2,56.3067,34752.0,32.99655568312285
4,65.8739,34045.2,30.291618828932247
8,125.939,32517.4,24.444699579027944
16,251.762,33089.9,26.635667814772297
