processes,time,length,speedup
1,0.0827074,24823.4,1.0
2,0.0841028,21099.5,0.9834084001959507
4,0.102882,20374.2,0.8039054450729962
8,0.204533,20374.2,0.404371910645226
16,0.42322,20374.2,0.1954241292944568
