processes,time,length,error_%
1,33.237,37102.1,39.88123963203136
2,35.2586,34584.8,30.390589654652402
4,41.6527,34020.9,28.264590559493296
8,76.8777,33124.8,24.886140853566594
16,169.675,32587.6,22.860805308399932
