processes,time,length,error_%
1,15.5422,27142.2,27.535945869749085
2,15.4305,25414.4,19.417347993609628
4,18.1857,25177.1,18.302321210412547
8,34.6347,25470.5,19.680951038436238
16,73.7923,25126.4,18.064091720702947
