processes,time,length,error_%
1,24.0864,24919.2,20.098317991228495
2,24.2729,26304.5,26.774784326955515
4,29.0298,23902.0,15.195913056050895
8,56.5919,24933.5,20.16723697527592
16,124.907,24208.6,16.673574630102646
