processes,time,length,speedup
1,23.7171,29087.3,1.0
2,24.5949,26358.8,0.9643096739567959
4,28.5927,24299.3,0.829480951431659
8,58.2759,24332.4,0.40697955758727017
16,117.548,24784.0,0.201765236328989
