processes,time,length,error_%
1,23.594,26127.3,18.004155187209246
2,25.6447,26783.7,20.96879093085227
4,28.6539,26229.9,18.467548891197332
8,57.3224,26219.8,18.421932162052297
16,115.141,26300.3,18.785511042861653
